,adult,budget,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,vote_average,vote_count,collectionName,Thriller,TV Movie,Documentary,Mystery,Fantasy,Drama,Romance,Animation,History,Comedy,Adventure,War,Foreign,Crime,Family,Western,Science Fiction,Music,Action,Horror,homepagepresent,z_score_popularity,outliers,score,producer1,producer2,Totallanguages,profit
16,0.0,16500000.0,4584,tt0114388,en,sense and sensibility,"rich mr. dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. two daughters are the titular opposites.",8.62,1995-12-13,135000000,136.0,Released,7.2,364.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2900091366532518,False,2620.8,columbia pictures corporation,mirage enterprises,1,7.181818181818182
17,0.0,4000000.0,5,tt0113101,en,four rooms,it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another.,8.62,1995-12-09,4300000,98.0,Released,6.5,539.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0159521852021824,False,3503.5,miramax films,a band apart,1,0.075
18,0.0,30000000.0,9273,tt0112281,en,ace ventura: when nature calls,"summoned from an ashram in tibet, ace finds himself on a perilous journey into the jungles of africa to find shikaka, the missing sacred animal of the friendly wachati tribe. he must accomplish this before the wedding of the wachati's princess to the prince of the warrior wachootoos. if ace fails, the result will be a vicious tribal war.",8.205448,1995-11-10,212385533,90.0,Released,6.1,1128.0,Ace Ventura Collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.8792819715894733,False,6880.799999999999,o entertainment,warner bros.,1,6.079517766666667
19,0.0,60000000.0,11517,tt0113845,en,money train,"a vengeful new york transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,1995-11-21,35431113,103.0,Released,5.4,224.0,independent Movie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7348882759402682,False,1209.6000000000001,columbia pictures,no producer,1,-0.40948145
20,0.0,30250000.0,8012,tt0113161,en,get shorty,"chili palmer is a miami mobster who gets sent by his boss, the psychopathic ""bones"" barboni, to collect a bad debt from harry zimm, a hollywood producer who specializes in cheesy horror films. when chili meets harry's leading lady, the romantic sparks fly. after pitching his own life story as a movie idea, chili learns that being a mobster and being a hollywood producer really aren't all that different.",8.62,1995-10-20,115101622,105.0,Released,6.4,305.0,Chili Palmer Collection,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6222967885889445,False,1952.0,jersey films,metro-goldwyn-mayer (mgm),1,2.805012297520661
22,0.0,50000000.0,9691,tt0112401,en,assassins,"assassin robert rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. horrified by the murder of innocent bystanders, rath decides to take one last job and then return to civilian life. but finding his way out of the world of contract killing grows ever more dangerous as rath falls for his female target and becomes a marked man himself.",8.62,1995-10-06,30303072,132.0,Released,6.0,394.0,independent Movie,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.3553821106735642,False,2364.0,silver pictures,canal+,3,-0.39393856
24,0.0,3600000.0,451,tt0113627,en,leaving las vegas,"ben sanderson, an alcoholic hollywood screenwriter who lost everything because of his drinking, arrives in las vegas to drink himself to death. there, he meets and forms an uneasy friendship and non-interference pact with prostitute sera.",8.62,1995-10-27,49800000,112.0,Released,7.1,365.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2332294601405747,False,2591.5,united artists,intial productions,1,12.833333333333334
26,0.0,12000000.0,9263,tt0114011,en,now and then,"waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- teeny, chrissy, samantha and roberta -- recall the magical summer of 1970. during their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.62,1995-10-20,27400000,100.0,Released,6.6,91.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9584869423049621,False,600.6,new line cinema,no producer,1,1.2833333333333334
28,0.0,18000000.0,902,tt0112682,fr,la cité des enfants perdus,"a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",8.62,1995-05-16,1738611,108.0,Released,7.6,308.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.148411300224137,False,2340.7999999999997,procirep,constellation productions,2,-0.9034105
31,0.0,29500000.0,63,tt0114746,en,twelve monkeys,"in the year 2035, convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. but when cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. there he meets psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the army of the 12 monkeys, thought to be responsible for unleashing the killer disease.",8.62,1995-12-29,168840000,129.0,Released,7.4,2470.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5603306750505959,False,18278.0,universal pictures,atlas entertainment,2,4.7233898305084745
33,0.0,30000000.0,9598,tt0112431,en,babe,"babe is a little pig who doesn't quite know his place in the world. with a bunch of odd friends, like ferdinand the duck who thinks he is a rooster and fly the dog he calls mom, babe realizes that he has the makings to become the greatest sheep pig of all time, and farmer hogget knows it. with the help of the sheep dogs babe learns that a pig can be anything that he wants to be.",8.62,1995-07-18,254134910,89.0,Released,6.0,756.0,Babe Collection,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.911096163567784,False,4536.0,universal pictures,kennedy miller productions,1,7.4711636666666665
35,0.0,11000000.0,687,tt0112818,en,dead man walking,a justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. susan sarandon won an oscar for best female actress for her convincing portrayal of sister helen prejean.,6.891317,1995-12-29,39363635,122.0,Released,7.3,350.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6605580001192903,False,2555.0,havoc,polygram filmed entertainment,1,2.5785122727272727
43,0.0,18000000.0,9312,tt0113855,en,mortal kombat,"for nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. if he wins a tenth mortal kombat tournament, desolation and evil will reign over the multiverse forever. to save earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",8.62,1995-08-18,122195920,101.0,Released,5.4,452.0,Mortal Kombat Collection,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3227929910668939,False,2440.8,new line cinema,threshold entertainment,1,5.788662222222222
44,0.0,20000000.0,577,tt0114681,en,to die for,"susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. a very dark comedy from independent director gus van sant with a brilliant nicole kidman in the leading role.",8.62,1995-05-20,21284514,106.0,Released,6.7,177.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2526123974744716,False,1185.9,the rank organisation,columbia pictures corporation,1,0.0642257
45,0.0,10000000.0,11861,tt0113347,en,how to make an american quilt,"soon-to-be-wed graduate student finn dodd develops cold feet when she suspects her fiancé is cheating on her. in order to clear her head, finn visits her grandmother, hy, and great aunt, glady joe cleary, in grasse, calif. there, finn learns that hy and glady joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,1995-10-06,23574130,116.0,Released,6.5,38.0,independent Movie,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2602100338270805,False,247.0,universal pictures,amblin entertainment,1,1.357413
46,0.0,33000000.0,807,tt0114369,en,se7en,"two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case.",8.62,1995-09-22,327311859,127.0,Released,8.1,5915.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.5856219167553887,False,47911.5,new line cinema,juno pix,1,8.918541181818181
47,0.0,55000000.0,10530,tt0114148,en,pocahontas,"history comes gloriously to life in disney's epic animated tale about love and adventure in the new world. pocahontas is a native american woman whose father has arranged for her to marry her village's best warrior. but a vision tells her change is coming, and soon she comes face to face with it in the form of capt. john smith.",8.62,1995-06-14,346079773,81.0,Released,6.7,1509.0,Pocahontas Collection,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.7239019210663453,False,10110.300000000001,walt disney pictures,walt disney feature animation,1,5.292359509090909
49,0.0,6000000.0,629,tt0114814,en,the usual suspects,"held in an l.a. interrogation room, verbal kint attempts to convince the feds that a mythic crime lord, keyser soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in san pedro harbor – leaving few survivors. verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",8.62,1995-07-19,23341568,106.0,Released,8.1,3334.0,independent Movie,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.226949695755145,False,27005.399999999998,blue parrot productions,bad hat harry productions,4,2.890261333333333
51,0.0,15000000.0,11448,tt0113819,en,mighty aphrodite,"when lenny and his wife, amanda, adopt a baby, lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. but when he learns that max's mother is linda ash, a kindhearted prostitute and porn star, lenny is determined to reform her immoral lifestyle. a greek chorus chimes in to relate the plot to greek mythology in this quirky comedy.",8.62,1995-09-13,6700000,95.0,Released,6.7,145.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1598191152719117,False,971.5,miramax films,magnolia pictures,1,-0.5533333333333333
68,0.0,3500000.0,10634,tt0113118,en,friday,"craig and smokey are two guys in los angeles hanging out on their porch on a friday afternoon, smoking and drinking, looking for something to do.",8.62,1995-04-26,28215918,91.0,Released,7.0,513.0,Friday Collection,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.9385397903902486,False,3591.0,new line cinema,no producer,1,7.061690857142857
69,0.0,19000000.0,755,tt0116367,en,from dusk till dawn,"seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas. they escape across the border into mexico and will be home-free the next morning, when they pay off the local kingpin. they just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a hell of a strip joint.",8.62,1996-01-19,25836616,108.0,Released,6.9,1644.0,From Dusk Till Dawn Collection,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.066615874295293,False,11343.6,a band apart,dimension films,2,0.3598218947368421
70,0.0,50000000.0,11859,tt0113010,en,fair game,"max kirkpatrick is a cop who protects kate mcquean, a civil law attorney, from a renegade kgb team out to terminate her",5.912223,1995-11-03,11534477,91.0,Released,4.1,54.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4975975889254083,False,221.39999999999998,silver pictures,warner bros.,2,-0.76931046
74,0.0,15000000.0,36929,tt0115676,en,big bully,"a writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.936443,1996-01-26,2042530,90.0,Released,3.9,16.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.002308747994373843,False,62.4,warner bros.,morgan creek productions,1,-0.8638313333333333
75,0.0,20000000.0,9102,tt0114367,en,screamers,"(sirius 6b, year 2078) on a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",8.62,1995-09-08,5781885,108.0,Released,6.1,154.0,Screamers Collection,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6371498947206766,False,939.4,the movie network (tmn),allegro films,1,-0.71090575
80,0.0,8000000.0,400,tt0114660,en,things to do in denver when you're dead,a mafia film in tarantino style with a star-studded cast. jimmy’s “the saint” gangster career has finally ended. yet now he finds him self doing favors for a wise godfather known as “the man with the plan.”,4.486179,1995-12-01,529766,116.0,Released,6.7,87.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2602468170683973,False,582.9,miramax films,no producer,1,-0.93377925
85,0.0,38000000.0,10534,tt0118158,en,white squall,teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,8.62,1996-02-02,10300000,129.0,Released,6.3,86.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.1061656643517694,False,541.8,hollywood pictures,largo entertainment,4,-0.7289473684210527
88,0.0,8169363.0,2086,tt0113972,en,nick of time,"gene watson is a public accountant who arrives on a train at union station in los angeles, accompanied by his 6-year-old daughter lynn. because of his ordinary looks, he is approached by a pair of sinister people named smith and jones.",6.848591,1995-11-22,8175346,90.0,Released,6.1,190.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6534466844247095,False,1159.0,paramount pictures,no producer,1,0.0007323704430810578
90,0.0,47000000.0,9095,tt0117002,en,mary reilly,"a housemaid falls in love with dr. jekyll and his darkly mysterious counterpart, mr. hyde.",8.62,1996-02-23,12379402,104.0,Released,5.7,77.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.6550074093999647,False,438.90000000000003,tristar pictures,nfh productions,1,-0.7366084680851064
91,0.0,14000000.0,12158,tt0114825,en,vampire in brooklyn,"maximillian, the lone survivor of a race of vampires, comes to brooklyn in search of a way to live past the next full moon. his ticket to survival is rita, a nypd detective who doesn't know she's half vampire -- and maximillian will do whatever's necessary to put her under his spell.",8.62,1995-10-26,19800000,100.0,Released,4.5,113.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.023365589507578,False,508.5,paramount pictures,no producer,1,0.4142857142857143
93,0.0,50000000.0,9208,tt0115759,en,broken arrow,"when rogue stealth-fighter pilot vic deakins deliberately drops off the radar while on maneuvers, the air force ends up with two stolen nuclear warheads -- and deakins's co-pilot, riley hale, is the military's only hope for getting them back. traversing the deserted canyons of utah, hale teams with park ranger terry carmichael to put deakins back in his box.",8.62,1996-02-09,150270147,108.0,Released,5.7,459.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.003114518141984,False,2616.3,twentieth century fox film corporation,wcg entertainment productions,1,2.00540294
99,0.0,7000000.0,13685,tt0115734,en,bottle rocket,"upon his release from a mental hospital following a nervous breakdown, the directionless anthony joins his friend dignan, who seems far less sane than the former. dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary mr. henry.",6.904831,1996-02-21,560069,91.0,Released,6.8,285.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6628072703598128,False,1938.0,gracie films,columbia pictures corporation,2,-0.9199901428571429
102,0.0,12000000.0,9614,tt0116483,en,happy gilmore,"failed hockey player-turned-golf whiz happy gilmore -- whose unconventional approach and antics on the grass courts the ire of rival shooter mcgavin -- is determined to win a pga tournament so he can save his granny's house with the prize money. meanwhile, an attractive tour publicist tries to soften happy's image.",8.62,1996-02-16,41205099,92.0,Released,6.5,767.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.110103801332752,False,4985.5,universal pictures,brillstein-grey entertainment,1,2.43375825
103,0.0,24000000.0,688,tt0112579,en,the bridges of madison county,photographer robert kincaid wanders into the life of housewife francesca johnson for four days in the 1960s.,5.951077,1995-05-28,182016617,135.0,Released,7.3,397.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5040644489169178,False,2898.1,amblin entertainment,malpaso productions,1,6.584025708333333
108,0.0,72000000.0,197,tt0112573,en,braveheart,"enraged at the slaughter of murron, his new bride and childhood love, scottish warrior william wallace slays a platoon of the local english lord's soldiers. this leads the village to revolt and, eventually, the entire country to rise up against english rule.",8.62,1995-05-24,210000000,177.0,Released,7.7,3404.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.968054280806231,False,26210.8,icon entertainment international,the ladd company,4,1.9166666666666667
109,0.0,1300000.0,103,tt0075314,en,taxi driver,"a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",8.62,1976-02-07,28262574,114.0,Released,8.1,2632.0,independent Movie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.8591583932684437,False,21319.2,columbia pictures corporation,italo/judeo productions,2,20.74044153846154
110,0.0,7500000.0,33542,tt0113326,cn,紅番區,"keong comes from hong kong to visit new york for his uncle's wedding. his uncle runs a market in the bronx and keong offers to help out while uncle is on his honeymoon. during his stay in the bronx, keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. one of those petty thugs in the local gang stumbles into a criminal situation way over his head.",8.62,1995-01-30,32392047,91.0,Released,6.5,245.0,independent Movie,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5631556612717288,False,1592.5,new line cinema,golden harvest company,2,3.3189396
117,0.0,25000000.0,78406,tt0114536,en,steal big steal little,"ruben and robby are twin brothers, adopted by mona, one of the wealthiest - and most eccentric - women in santa barbara. ruben is devoted to mona, but robby is more devoted to her money. so when mona leaves her fortune and estate to ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. on ruben's side is lou perilli an ex-chicago cop and used car dealer who knows the law - and how to get around it. on robby's side is ruthless businessman reed tyler, who is out to turn a swift profit on mona's property. walking a shifty line between them is eddie agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. but whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.",1.522412,1995-09-29,6278139,113.0,Released,5.1,7.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,-0.23304258007105827,False,35.699999999999996,savoy pictures,no producer,1,-0.74887444
